author,comment,published_at
@r4ym0ndV,"orang gila mana yang nonton ini sambil sarapan, gue orang gilanya 😭☝🏻",2026-02-08T00:00:17Z
@airizki_bdg,👏,2026-02-07T20:03:53Z
@Bangau77-f4p,"Dari sini aku belajar bahwa aku ga benar2 sendiri. Bahkan di dalam kesendirian diriku, ternyata masih terdapat jutaan microorganisme di dalam tubuhku either jahat maupun baik dan sel2 di dalam tubuhku juga hidup untuk menopang dan menyuport kehidupanku. Thus aku harus beri mereka makan dengan makanan2 yg bergizi supaya mereka juga tumbuh dan hidup sehat❤",2026-02-07T17:01:38Z
@Bangau77-f4p,"Dr, dr kan mentioned kalau dr suka dengan darah pada luka, apakah dr juga merasa jijik atau b aja malahan dalam menonton film thriller berdarah? Penasaran hehehe",2026-02-07T16:36:13Z
@poni4263,"Pantesan bicaranya teratur, mudah dipahami, menghibur, seruuuuh.. ternyata dia penulis☺️",2026-02-07T14:36:00Z
@UR.ronaldo7-n4g,"Dokter nya agak Laen yaa,sini yg dengar merinding ,si dokter cuma bilang seru ttrus dari tdi😮😮",2026-02-07T11:26:24Z
@winaiindrasaragih2733,Dr nya positif vibe bgtt,2026-02-07T08:18:46Z
@mafulaaa,ga cocok nonton ini sambil makan 😭😭😭😭,2026-02-07T07:07:33Z
@AploniaSeu-p1k,dr Gia mantaaapppp,2026-02-07T05:21:55Z
@Nananaanaaa,"gen z, tenangi diri lo kwkw",2026-02-07T04:50:55Z
@Nananaanaaa,drakor trauma code keren bangett,2026-02-07T04:47:44Z
@SalmanAlghifari-r7v,Dia sikopat ga si se serem itu dibilang seru😭😭😭,2026-02-06T04:21:05Z
